OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,Courses,HighSchoolCourses,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Ranbir Janhit Higher Secondary School,"CTEVT,HSEB",540216,,,"Waling, Khahare       ",Syangja,Gandaki,"Waling, Khahare  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management,Diploma in Electrical Engineering ; 48;,TSLC in Electrical Engineering (Electrical Sub-overseer) ; 40;","Ten Plus Two Education,Ten Plus Two Management","Diploma in Electrical Engineering ; 48;,TSLC in Electrical Engineering (Electrical Sub-overseer) ; 40;",http://edusanjal.com/college/ranbir-janhit-higher-secondary-school,Public,,,,,
Jyoti Awashiya Higher Secondary School,HSEB,63-420390,,,"Putalibazar Pragatinagar,         ",Syangja,Gandaki,"Putalibazar Pragatinagar, Syangja  Syangja   Gandaki",Ten Plus Two Management,Ten Plus Two Management,,http://edusanjal.com/college/jyoti-awashiya-higher-secondary-school,Public,,,,,
Roshani English Boarding Higher Secondary School,HSEB,63-420070-420262,,,"Narayansthan,         ",Syangja,Gandaki,"Narayansthan, Syangja  Syangja   Gandaki","Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/roshani-english-boarding-higher-secondary-school,Public,,,,,
Bhawani Higher Secondary School Syangja,HSEB,520830,,,"Baidhya Bhangyang, Birgha,         ",Syangja,Gandaki,"Baidhya Bhangyang, Birgha, Syangja  Syangja   Gandaki","Ten Plus Two Management,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Education",,http://edusanjal.com/college/bhawani-higher-secondary-school-syangja,Public,,,,,
Janasewa Higher Secondary School Syangja,HSEB,,,,"Kalikakot,         ",Syangja,Gandaki,"Kalikakot, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/janasewa-higher-secondary-school-syangja,Public,,,,,
Sheetala Higher Secondary School,HSEB,,,,"Pauwaigaude,         ",Syangja,Gandaki,"Pauwaigaude, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/sheetala-higher-secondary-school,Public,,,,,
Shivalaya Higher Secondary School Syangja,HSEB,521450,,,"Balamguthi,         ",Syangja,Gandaki,"Balamguthi, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/shivalaya-higher-secondary-school-syangja,Public,,,,,
Tri-Shaheed Higher Secondary School,HSEB,,,,Panchamul       ,Syangja,Gandaki,Panchamul  Syangja   Gandaki,"Ten Plus Two Education,Ten Plus Two Management,Ten Plus two in Computer Engineering","Ten Plus Two Education,Ten Plus Two Management",Ten Plus two in Computer Engineering,http://edusanjal.com/college/tri-shaheed-higher-secondary-school,Public,,,,,
Sarbodaya Higher Secondary School Syangja,HSEB,,,,"Aruchaur,         ",Syangja,Gandaki,"Aruchaur, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/sarbodaya-higher-secondary-school-syangja,Public,,,,,
Kajiman Haritika Higher Secondary School,HSEB,063-420371,,,"Putalibazaar,         ",Syangja,Gandaki,"Putalibazaar, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/kajiman-haritika-higher-secondary-school,Public,,,,,
Narodaya Higher Secondary School,HSEB,521435,,,"Pindikhola 4,         ",Syangja,Gandaki,"Pindikhola 4, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/narodaya-higher-secondary-school,Public,,,,,
Janki Higher Secondary School,HSEB,,,,"Pakawadi,         ",Syangja,Gandaki,"Pakawadi, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/janki-higher-secondary-school,Public,,,,,
Adarsha Higher Secondary School Syangja,HSEB,520832,,,"Lasargha, Alamdevi,         ",Syangja,Gandaki,"Lasargha, Alamdevi, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/adarsha-higher-secondary-school-syangja,Public,,,,,
Tribhuwan Aadarsha Higher Secondary School Syangja,HSEB,063-420214,,,"Putalibazaar,         ",Syangja,Gandaki,"Putalibazaar, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/tribhuwan-aadarsha-higher-secondary-school,Public,,,,,
Dibya Prakash Higher Secondary School,HSEB,9846048630,,,"Oraste, Saunepani,         ",Syangja,Gandaki,"Oraste, Saunepani, Syangja  Syangja   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/dibya-prakash-higher-secondary-school,Public,,,,,
Shrawan Higher Secondary School,HSEB,063-690283,,,"Bangshing,         ",Syangja,Gandaki,"Bangshing, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/shrawan-higher-secondary-school,Public,,,,,
Radhadamodar Gyanjyoti Sanskriti Higher Secondary School,HSEB,9846073073,,,"Kelari,         ",Syangja,Gandaki,"Kelari, Syangja  Syangja   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/radhadamodar-gyanjyoti-sanskriti-higher-secondary-school,Public,,,,,
Laxmi Higher Secondary School Syangja,HSEB,063-690092,,,"Thumpokhara,         ",Syangja,Gandaki,"Thumpokhara, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/laxmi-higher-secondary-school-syangja,Public,,,,,
Ghurunkha Higher Secondary School,HSEB,063/690478,,,"Dahapokhari,         ",Syangja,Gandaki,"Dahapokhari, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/ghurunkha-higher-secondary-school,Public,,,,,
Bhanu Higher Secondary School Syangja,HSEB,063-690264,,,"Kuwakot 8,         ",Syangja,Gandaki,"Kuwakot 8, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/bhanu-higher-secondary-school-syangja,Public,,,,,
Adarsha Awasiya Higher Secondary School,HSEB,063-460165,,,"Jagatradevi 9,         ",Syangja,Gandaki,"Jagatradevi 9, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/adarsha-awasiya-higher-secondary-school,Public,,,,,
Galkot Higher Secondary School,HSEB,,,,"Tulasibhanjyang,         ",Syangja,Gandaki,"Tulasibhanjyang, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/galkot-higher-secondary-school,Public,,,,,
Jana Higher Secondary School Syangja,HSEB,063-620209,,,"Rapakot 9,         ",Syangja,Gandaki,"Rapakot 9, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/jana-higher-secondary-school-syangja,Public,,,,,
Janahit Higher Secondary School Syangja,HSEB,075-529422,,,"Ratnapur 8,         ",Syangja,Gandaki,"Ratnapur 8, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/janahit-higher-secondary-school-syangja,Public,,,,,
Majhakot Higher Secondary School,HSEB,063-690303,,,"Majhakot, Shyangja       ",Syangja,Gandaki,"Majhakot, Shyangja  Syangja   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/majhakot-higher-secondary-school,Public,,,,,
Mahima Higher Secondary School,HSEB,063-690203,,,"Chisapani, Shyangja       ",Syangja,Gandaki,"Chisapani, Shyangja  Syangja   Gandaki","Ten Plus Two Humanities,Ten Plus Two Management","Ten Plus Two Humanities,Ten Plus Two Management",,http://edusanjal.com/college/mahima-higher-secondary-school,Public,,,,,
Pitambar Higher Secondary School,HSEB,061-691121,,,"Kyakmi Dagdi,         ",Syangja,Gandaki,"Kyakmi Dagdi, Syangja  Syangja   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/pitambar-higher-secondary-school,Public,,,,,
Maidan Higher Secondary School,HSEB,,,,"Bange,         ",Syangja,Gandaki,"Bange, Syangja  Syangja   Gandaki",Ten Plus Two Humanities,Ten Plus Two Humanities,,http://edusanjal.com/college/maidan-higher-secondary-school,Public,,,,,
Chandidanda Higher Secondary School,HSEB,9746007225,,,"Matikhan, Phedikhola, Sangja       ",Syangja,Gandaki,"Matikhan, Phedikhola, Sangja  Syangja   Gandaki","Ten Plus Two Humanities,Ten Plus Two Education","Ten Plus Two Humanities,Ten Plus Two Education",,http://edusanjal.com/college/chandidanda-higher-secondary-school,Public,,,,,
Jana Adarsha Higher Secondary School,HSEB,063-690080,,,"Arukharka, Shyangja       ",Syangja,Gandaki,"Arukharka, Shyangja  Syangja   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/jana-adarsha-higher-secondary-school,Public,,,,,
Bhabishya Nirman Higher Secondary School Syangja,HSEB,9746035840,,,"Oraste Thangahira, Sangja       ",Syangja,Gandaki,"Oraste Thangahira, Sangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/bhabishya-nirman-higher-secondary-school,Public,,,,,
Nepal Rastra Higher Secondary School,HSEB,9846121482,,,Chokthanti Pelakot         ,Syangja,Gandaki,Chokthanti Pelakot Syangja  Syangja   Gandaki,"Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/nepal-rastra-higher-secondary-school,Public,,,,,
Himali Higher Secondary School Syangja,HSEB,063-690095,,,Ratnedovan Eladi         ,Syangja,Gandaki,Ratnedovan Eladi Syangja  Syangja   Gandaki,"Ten Plus Two Humanities,Ten Plus Two Education","Ten Plus Two Humanities,Ten Plus Two Education",,http://edusanjal.com/college/himali-higher-secondary-school,Public,,,,,
Bhoj Prakash Higher Secondary School,HSEB,063-690422,,,"Kichnas Saldanda, Sangja       ",Syangja,Gandaki,"Kichnas Saldanda, Sangja  Syangja   Gandaki","Ten Plus Two Humanities,Ten Plus Two Education","Ten Plus Two Humanities,Ten Plus Two Education",,http://edusanjal.com/college/bhoj-prakash-higher-secondary-school,Public,,,,,
Janajyoti Higher Secondary School Syangja,HSEB,9846159345,,,"Kuwakot,         ",Syangja,Gandaki,"Kuwakot, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/janajyoti-higher-secondary-school-syangja,Public,,,,,
Shaheed Shukra Higher Secondary School,HSEB,063-690106,,,"Bastara,         ",Syangja,Gandaki,"Bastara, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/shaheed-shukra-higher-secondary-school,Public,,,,,
Rajendra Bhawani Higher Secondary School,HSEB,9746010694,,,Swnrek         ,Syangja,Gandaki,Swnrek Syangja  Syangja   Gandaki,Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/rajendra-bhawani-higher-secondary-school,Public,,,,,
Pakawadi Bhanjyang Higher Secondary School,HSEB,063-690159,,,"Pakawadi,         ",Syangja,Gandaki,"Pakawadi, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/pakawadi-bhanjyang-higher-secondary-school,Public,,,,,
Deurali Higher Secondary School Syangja,HSEB,075-691569,,,Shreekrishna           ,Syangja,Gandaki,Shreekrishna Gandaki Syangja  Syangja   Gandaki,"Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/deurali-higher-secondary-school-syangja,Public,,,,,
Shishukalyan Higher Secondary School,HSEB,9746008147,,,"Gwadi, Nibuwakhark,         ",Syangja,Gandaki,"Gwadi, Nibuwakhark, Syangja  Syangja   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/shishukalyan-higher-secondary-school,Public,,,,,
Javanjyoti Higher Secondary School,HSEB,9846044439,,,"Kusum Bhanjvang, Sangja       ",Syangja,Gandaki,"Kusum Bhanjvang, Sangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/javanjyoti-higher-secondary-school,Public,,,,,
Ram Mandir Higher Secondary School,HSEB,076-691590,,,Darsingnarasewa Syngja       ,Syangja,Gandaki,Darsingnarasewa Syngja  Syangja   Gandaki,"Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/ram-mandir-higher-secondary-school,Public,,,,,
Kala Bhairab Higher Secondary School,HSEB,9846056536,,,Phedikhola         ,Syangja,Gandaki,Phedikhola Syangja  Syangja   Gandaki,Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/kala-bhairab-higher-secondary-school,Public,,,,,
Ghante Higher Secondary School,HSEB,9846136904,,,"Ghante  , Sangja       ",Syangja,Gandaki,"Ghante Syangja, Sangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/ghante-higher-secondary-school,Public,,,,,
Gyanodaya Higher Secondary School Syangja,HSEB,9846114065,,,"Pakawadi,         ",Syangja,Gandaki,"Pakawadi, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/gyanodaya-higher-secondary-school-syangja,Public,,,,,
Brahma Rupa Higher Secondary School,HSEB,29344-986023568,,,"Rajaka, Chautara       ",Kaski,Gandaki,"Rajaka, Chautara  Kaski   Gandaki","Ten Plus Two Education,Ten Plus Two Management,Ten Plus two in Computer Engineering","Ten Plus Two Education,Ten Plus Two Management",Ten Plus two in Computer Engineering,http://edusanjal.com/college/brahma-rupa-higher-secondary-school,Public,,,,,
Daraun Higher Secondary School,HSEB,063-690229,,,"Daraun,         ",Syangja,Gandaki,"Daraun, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/daraun-higher-secondary-school,Public,,,,,
Jana Prakash Higher Secondary School Kaski,HSEB,29390,,,"Bhandardhik,         ",Kaski,Gandaki,"Bhandardhik, Kaski  Kaski   Gandaki","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Humanities","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Humanities",,http://edusanjal.com/college/jana-prakash-higher-secondary-school,Public,,,,,
Machhapuchhre Higher Secondary School,HSEB,29303,,,"Nagdanda,         ",Kaski,Gandaki,"Nagdanda, Kaski  Kaski   Gandaki","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/machhapuchhre-higher-secondary-school,Public,,,,,
Gandaki Boarding Higher Secondary School,HSEB,20398,,,"Lamachaur,         ",Kaski,Gandaki,"Lamachaur, Kaski  Kaski   Gandaki",Ten Plus Two Science,Ten Plus Two Science,,http://edusanjal.com/college/gandaki-boarding-higher-secondary-school,Public,,,,,
S.O.S. Hermann Gmeiner Higher Secondary School Kaski,HSEB,61-524569,,,"Pokhara,         ",Kaski,Gandaki,"Pokhara, Kaski  Kaski   Gandaki",Ten Plus Two Science,Ten Plus Two Science,,http://edusanjal.com/college/sos-hermann-gmeiner-higher-secondary-school-kaski,Public,,,,,
Barahi Higher Secondary School Kaski,HSEB,61-520360,,,Pokhara       ,Kaski,Gandaki,Pokhara  Kaski   Gandaki,"Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/barahi-higher-secondary-school,Public,,,,,
Little Step Awasiya Higher Secondary School,HSEB,25013,,,"Pokhara,         ",Kaski,Gandaki,"Pokhara, Kaski  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/little-step-awasiya-higher-secondary-school,Public,,,,,
Bishwa Shanti Higher Secondary School,HSEB,29301,,,"Deurali,         ",Kaski,Gandaki,"Deurali, Kaski  Kaski   Gandaki","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Education","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Education",,http://edusanjal.com/college/bishwa-shanti-higher-secondary-school,Public,,,,,
Bhawani Kalika Higher Secondary School Kaski,HSEB,,,,"Bhawanichowk, Pokhara       ",Kaski,Gandaki,"Bhawanichowk, Pokhara  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Education",,http://edusanjal.com/college/bhawani-kalika-higher-secondary-school-kaski,Public,,,,,
Vindhya Vasini Higher Secondary School,HSEB,61-536603,,,"Pokhara-16, Batulechaur,         ",Kaski,Gandaki,"Pokhara-16, Batulechaur, Kaski  Kaski   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/vindhya-vasini-higher-secondary-school,Public,,,,,
Amar Singh Higher Secondary School Kaski,HSEB,20359-24894,,,"Pokhara,         ",Kaski,Gandaki,"Pokhara, Kaski  Kaski   Gandaki","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/amar-singh-higher-secondary-school-kaski,Public,,,,,
Triveny Public Higher Secondary School,HSEB,"061-560497, 560569",trivenypublic@gmail.com,,"Arghau, Lekhnath-2, Pokhara       ",Kaski,Gandaki,"Arghau, Lekhnath-2, Pokhara  Kaski   Gandaki",Ten Plus Two Management,Ten Plus Two Management,,http://edusanjal.com/college/triveny-public-higher-secondary-school,Public,,,,,
Pokhara Multimodal Higher Secondary School,HSEB,61-531738,,,"Simalchaur,         ",Kaski,Gandaki,"Simalchaur, Kaski  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/pokhara-multimodal-higher-secondary-school,Public,,,,,
Gauri Shankar Higher Secondary School Kaski,HSEB,61-529332-530623,,,"Hemja,         ",Kaski,Gandaki,"Hemja, Kaski  Kaski   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/gauri-shankar-higher-secondary-school-kaski,Public,,,,,
